Pixel Count,Kernel Size,Clusters,Threads,Time
25672152,3,8,8,0.309726
25672152,3,8,8,0.113961
25672152,3,8,8,0.086422
25672152,3,8,8,0.107715
25672152,3,8,8,0.382809
25672152,5,8,8,0.192476
25672152,5,8,8,0.169666
64000000,3,8,8,0.231840
64000000,3,8,8,0.300526
64000000,3,8,8,0.708185
64000000,3,8,8,0.263393
64000000,3,8,8,0.470755
64000000,5,8,8,0.565511
64000000,5,8,8,0.473861
211680000,3,8,8,1.039600
211680000,3,8,8,0.821094
211680000,3,8,8,0.870792
211680000,3,8,8,0.863428
211680000,3,8,8,1.104480
211680000,5,8,8,1.421202
211680000,5,8,8,1.531601
