Pixel Count,Kernel Size,Clusters,Threads,Time
25672152,3,1,8,0.087654
25672152,3,1,8,0.085712
25672152,3,1,8,0.085493
25672152,3,1,8,0.086028
25672152,3,1,8,0.086334
25672152,5,1,8,0.139230
25672152,5,1,8,0.139468
64000000,3,1,8,0.215731
64000000,3,1,8,0.220251
64000000,3,1,8,0.214071
64000000,3,1,8,0.213642
64000000,3,1,8,0.213482
64000000,5,1,8,0.340769
64000000,5,1,8,0.340553
211680000,3,1,8,0.794736
211680000,3,1,8,0.709606
211680000,3,1,8,0.704871
211680000,3,1,8,0.704287
211680000,3,1,8,0.704638
211680000,5,1,8,1.134201
211680000,5,1,8,1.134347
