Pixel Count,Kernel Size,Clusters,Threads,Time
25672152,3,1,1,0.273665
25672152,3,1,1,0.260786
25672152,3,1,1,0.261454
25672152,3,1,1,0.259776
25672152,3,1,1,0.275558
25672152,5,1,1,0.628848
25672152,5,1,1,0.626192
64000000,3,1,1,0.684126
64000000,3,1,1,0.651350
64000000,3,1,1,0.653675
64000000,3,1,1,0.655211
64000000,3,1,1,0.650633
64000000,5,1,1,1.571426
64000000,5,1,1,1.592239
211680000,3,1,1,2.302056
211680000,3,1,1,2.199988
211680000,3,1,1,2.167137
211680000,3,1,1,2.158087
211680000,3,1,1,2.195304
211680000,5,1,1,5.286106
211680000,5,1,1,5.220651
